"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18"
0.098,0.451,0.0888,0.4011,0.081,0.327,0.099,0.2805,0.074,0.253,0.064,0.2225,0.046,0.152,0.0338,0.1261,0.073,0.326
0.053,0.226,0.0488,0.2011,0.0485,0.1645,0.0715,0.143,0.049,0.128,0.042,0.1125,0.031,0.077,0.0213,0.0636,0.0405,0.1635
