52,1,230,109,346,31,78,23,12,19,96,20,693,2,42,406,6,381,1595,218,421,324,232,30,58,1195,167,1217,1032,92,19,169,2677,138,190,753,40,7,154,5,150,1532,16453,185,22,34,1769,6572,103,86,55,0,4647,100,148,5557,25,198,11,1337,19,50,3382,235,271,168,80,208,33,10,132,119,7844,280,243,7,1945,224
937,334,134606375,4793,491861,253,151,4,800,4986,5278,0,24976,0,1861,692,13,295334,417502,40217,1048647,969502,48783017,143699,919,216522,1752,26917,19213,241033,0,6583980,1643178,4745,18366,6464,274,44,30492,202,2983,128665,1810810,6458,731,671,365432,1374871,22210,151943,1252171,2,6056888,5298,17792,133084384,8486,2576,19,63912,30,9,278619,249127,799,16,47032,1381,21,0,7984,101,3745225,5722,1390,581,18679,4
6,0,0,16,33,28,41,59,0,0,14,53,219,39,2,239,4,26,134,8,7,4,0,0,38,55,16,128,372,14,280,5,180,26,21,76,12,6,11,1,24,193,351,76,7,12,115,625,12,1,1,0,91,9,53,41,3,66,19,104,6,83,821,60,149,176,6,56,3,915,9,105,476,53,34,1,770,501
298,17,102531,743,8032,60,124,9,114,321,712,5,3287,0,427,599,9,8545,23993,3984,23781,20841,138040,2164,158,20779,891,8010,3811,2077,0,16791,56943,799,1868,3808,116,14,2229,27,796,13850,344772,779,101,129,27602,87834,1228,3930,4601,0,208724,881,949,890533,333,677,10,12549,35,24,22963,3329,484,83,1514,639,71,0,1357,120,162182,1394,944,56,5673,50
32,0,39,63,139,25,68,29,6,8,54,29,442,7,22,366,6,156,737,96,134,99,37,8,43,536,106,722,710,36,53,44,1119,84,99,485,29,6,72,3,94,821,7113,122,14,23,814,3144,50,28,15,0,1591,54,85,1316,11,140,11,717,17,62,1948,108,231,209,34,152,28,47,68,119,3317,178,169,4,1436,349
14,0,2,26,36,20,55,43,2,2,22,51,229,39,7,305,5,40,223,25,21,14,1,0,29,145,47,298,407,10,235,5,293,38,35,219,18,5,21,1,43,309,1668,67,7,13,237,1004,17,4,1,0,283,19,40,135,3,81,12,253,12,83,867,37,178,270,9,90,17,477,23,118,868,86,86,1,903,641
21,0,3,34,37,16,64,36,3,3,28,50,233,39,13,348,5,50,295,45,39,28,5,1,25,248,83,481,425,7,213,6,382,47,47,398,22,4,30,1,61,401,4025,62,7,13,353,1302,19,8,2,0,531,29,34,261,3,91,9,417,17,83,885,27,196,344,11,118,39,331,38,126,1211,112,145,1,982,737
3,0,0,2,0,4,44,97,0,0,2,319,25,9795,0,259,3,0,9,1,0,0,0,0,4,9,19,73,71,0,28332,0,6,5,2,109,6,1,0,0,9,26,227,6,0,1,12,48,0,0,0,0,5,2,1,0,0,18,6,39,13,239,58,0,104,1506,0,37,55,382903,2,144,26,17,51,0,249,8495
23,1,112,66,314,44,58,31,5,9,60,21,655,2,13,315,5,244,927,74,138,98,36,10,76,435,58,501,931,131,23,142,1594,93,111,250,26,9,79,5,80,929,3225,207,21,31,831,3961,75,31,43,0,1422,46,194,1606,21,159,17,527,10,50,3159,381,224,108,56,127,7,20,52,105,4135,169,93,6,1636,175
205,29,200423,713,14598,97,104,10,96,308,711,4,4367,0,252,509,9,11114,26058,2739,20265,16941,99619,2093,253,14998,476,5228,4583,5731,0,39296,68317,807,1856,1914,101,19,2139,37,637,13971,144672,1180,134,157,24729,96109,1582,3529,9664,1,157958,690,1836,847691,500,718,15,8509,22,21,32659,9329,456,46,2064,509,20,0,953,106,172365,1227,513,70,6058,28
3,0,0,8,10,21,37,79,0,0,7,88,123,166,0,218,4,8,52,3,1,0,0,0,25,22,10,73,232,3,1021,0,62,14,9,50,8,4,4,0,14,91,148,43,3,7,46,256,4,0,0,0,26,4,25,7,0,43,18,52,6,110,404,20,125,251,2,40,3,6074,4,108,169,31,24,0,533,935
2,0,0,3,0,8,36,105,0,0,2,219,40,2833,0,216,3,0,11,0,0,0,0,0,8,7,9,47,96,0,11236,0,10,5,2,50,5,2,0,0,7,29,89,12,0,2,13,62,0,0,0,0,5,1,4,0,0,21,11,26,7,187,101,1,99,700,0,30,11,150698,1,123,34,16,25,0,287,3818
0,0,0,1,0,5,29,152,0,0,0,399,19,16698,0,186,2,0,3,0,0,0,0,0,5,1,4,21,52,0,56052,0,2,2,0,26,3,1,0,0,3,10,25,6,0,1,3,19,0,0,0,0,0,0,1,0,0,12,11,10,6,261,41,0,77,1032,0,18,10,1659656,0,125,8,7,14,0,176,7967
31,0,44,64,151,27,68,29,6,8,55,28,462,6,21,365,6,164,760,95,136,100,38,9,46,533,102,708,733,41,49,49,1166,85,101,464,29,6,73,3,94,838,6736,129,14,24,825,3241,52,29,16,0,1596,54,92,1357,12,142,11,706,16,61,2049,121,232,199,36,152,25,44,68,119,3418,179,162,4,1464,331
4,0,0,9,8,16,41,72,0,0,7,95,112,223,1,240,4,8,55,4,2,1,0,0,20,29,16,98,220,2,1221,0,62,15,10,76,9,4,4,0,17,98,260,36,3,6,54,268,4,0,0,0,35,5,18,8,0,44,14,70,8,116,359,12,131,331,1,47,7,6555,5,115,182,36,35,0,534,1193
27,0,44,60,165,31,64,32,5,7,53,28,484,6,17,347,6,162,722,78,115,83,28,7,52,444,80,591,752,51,47,56,1128,82,95,360,27,7,67,4,84,791,4726,141,15,25,737,3096,53,25,18,0,1308,47,108,1144,13,141,13,589,14,60,2169,154,226,172,36,138,17,45,57,116,3190,166,130,4,1460,295
6,0,0,9,5,11,46,65,0,0,7,109,92,375,2,267,4,6,53,6,2,1,0,0,14,37,25,134,194,0,1739,0,56,15,10,125,10,3,5,0,20,99,492,27,2,6,60,256,3,0,0,0,44,6,11,9,0,42,10,93,11,128,283,6,136,486,1,55,19,8662,7,124,179,39,54,0,509,1724
