0.021584,0.011197,-0.014293,X_0054,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,unidentified,Bacteroides
-7.158e-05,0.31876,-0.074119,X_0067,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Pandoraea,unidentified,Pandoraea
0.028785,0.022091,0.010759,X_0069,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,unidentified,Citrobacter
0.029849,-0.042453,-0.041865,X_0075,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,unidentified,Paenibacillus
0.27552,-0.04885,-0.16631,X_0076,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Chromobacteriaceae,Chromobacterium,unidentified,Chromobacterium
0.20615,0.16135,-0.086028,X_0083,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Tolumonas,unidentified,Tolumonas
0.027975,-0.083305,0.11211,X_0084,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,Pelosinus,unidentified,Pelosinus
0.034321,0.0011851,0.020367,X_0086,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,unidentified,Paenibacillus
0.14728,-0.016551,-0.030764,X_0087,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospirillaceae,Telmatospirillum,siberiense,siberiense
-0.1977,-0.010655,-0.032214,X_0089,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,unidentified,Aeromonas
-0.1943,0.014184,-0.025016,X_0090,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,unidentified,Novosphingobium
-0.20413,0.0028761,-0.062347,X_0098,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Duganella,unidentified,Duganella
0.03905,-0.077758,0.20935,X_0100,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Tolumonas,unidentified,Tolumonas
0.04018,0.11893,-0.080706,X_0102,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Oxalicibacterium,unidentified,Oxalicibacterium
-0.0067365,0.27696,-0.13736,X_0107,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Curvibacter,unidentified,Curvibacter
0.29583,-0.059099,-0.052155,X_0109,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Williamwhitmaniaceae,Acetobacteroides,unidentified,Acetobacteroides
0.0015979,0.0082974,0.066438,X_0111,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,Paludibacter,unidentified,Paludibacter
0.021471,0.011972,0.026771,X_0117,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,unidentified,Lactococcus
0.081802,-0.030494,0.14323,X_0128,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Duganella,unidentified,Duganella
0.026339,0.0036978,0.30526,X_0130,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,Anaeromusa-Anaeroarcus,unidentified,Anaeromusa-Anaeroarcus
0.038604,-0.0036645,0.29419,X_0141,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Chromobacteriaceae,Aquitalea,unidentified,Aquitalea
0.0061273,0.32415,-0.082744,X_0143,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Candidatus Accumulibacter,unidentified,Candidatus Accumulibacter
0.038225,0.2761,-0.1505,X_0147,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Pleomorphomonadaceae,Pleomorphomonas,unidentified,Pleomorphomonas
0.023148,-0.049201,0.095991,X_0164,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Duganella,unidentified,Duganella
0.035843,-0.067704,-0.12805,X_0166,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospirillaceae,Telmatospirillum,unidentified,Telmatospirillum
0.032845,-0.087602,-0.066907,X_0171,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,Pelosinus,unidentified,Pelosinus
0.036515,0.032409,-0.0034475,X_0173,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Chromobacteriaceae,Vogesella,unidentified,Vogesella
0.051386,0.25907,-0.070216,X_0179,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Propionivibrio,dicarboxylicus,dicarboxylicus
0.029919,-0.072549,0.099249,X_0181,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Magnetospirillaceae,Telmatospirillum,unidentified,Telmatospirillum
0.011631,0.22269,0.10746,X_0185,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Niveibacterium,unidentified,Niveibacterium
0.0052405,-0.013378,-0.085103,X_0191,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Tolumonas,auensis,auensis
-0.011469,0.14489,-0.052928,X_0198,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,Anaeromusa-Anaeroarcus,unidentified,Anaeromusa-Anaeroarcus
0.24121,-0.034587,-0.017648,X_0222,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Xylophilus,unidentified,Xylophilus
0.080697,0.073989,-0.021036,X_0232,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,unidentified,Bacteroides
0.29809,-0.047768,-0.036134,X_0241,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,luti,luti
0.2725,-0.045392,-0.031535,X_0243,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,unidentified,Flavobacterium
-0.14501,-0.00099701,-0.039413,X_0252,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,unidentified,unidentified,unidentified,Veillonellales-Selenomonadales
-0.0015157,0.033993,0.059895,X_0254,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,unidentified,Xanthomonas
0.067218,-0.0034496,0.23445,X_0275,Bacteria,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,unidentified,unidentified,Micropepsaceae
-0.046632,0.014683,0.013156,X_0291,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,unidentified,Pseudomonas
0.25932,-0.035636,-0.013057,X_0309,Bacteria,Firmicutes,Bacilli,Paenibacillales,Paenibacillaceae,Paenibacillus,unidentified,Paenibacillus
0.041632,-0.012249,0.055693,X_0361,Bacteria,Proteobacteria,Alphaproteobacteria,Micropepsales,Micropepsaceae,Micropepsis,unidentified,Micropepsis
