"","X_0001","X_0003","X_0006","X_0007","X_0008","X_0009","X_0011","X_0012","X_0013","X_0014","X_0016","X_0017","X_0018","X_0019","X_0020","X_0021","X_0022","X_0023","X_0025","X_0026","X_0027","X_0030","X_0032","X_0035","X_0036","X_0039","X_0041","X_0042","X_0043","X_0044","X_0045","X_0049","X_0052","X_0053","X_0055","X_0057","X_0058","X_0059","X_0060","X_0061","X_0062","X_0063","X_0064","X_0065","X_0068","X_0071","X_0073","X_0077","X_0079","X_0080","X_0081","X_0084","X_0085","X_0088","X_0091","X_0093","X_0094","X_0098","X_0103","X_0104","X_0105","X_0108","X_0110","X_0113","X_0116","X_0123","X_0124","X_0126","X_0131","X_0132","X_0134","X_0136","X_0137","X_0140","X_0142","X_0144","X_0145","X_0146","X_0148","X_0152","X_0153","X_0155","X_0162","X_0165","X_0167","X_0170","X_0175","X_0176","X_0180","X_0182","X_0189","X_0194","X_0195","X_0196","X_0199","X_0200","X_0203","X_0205","X_0208","X_0211","X_0213","X_0214","X_0216","X_0218","X_0219","X_0221","X_0224","X_0225","X_0226","X_0227","X_0234","X_0237","X_0238","X_0247","X_0250","X_0256","X_0257","X_0258","X_0266","X_0269","X_0279","X_0282","X_0283","X_0284","X_0287","X_0295","X_0296","X_0297","X_0301","X_0308","X_0324","X_0331","X_0347","X_0352","X_0354","X_0358","X_0367","X_0374","X_0377","X_0381","X_0386","X_0394","X_0398","X_0415"
"S_00973",0,0,0,154,0,0,0,5006,0,0,0,0,0,154,0,0,385,308,136,0,575,0,0,0,0,0,0,0,0,0,0,0,871,379,373,545,0,0,0,0,1528,0,0,0,0,0,0,0,284,569,0,0,0,0,0,0,0,0,0,184,148,0,0,0,113,0,0,278,0,0,148,0,0,0,47,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_01069",0,0,0,99,51,0,0,4076,0,0,0,0,0,126,0,0,364,502,126,0,447,0,0,0,0,0,0,0,0,0,0,0,902,234,406,522,0,0,49,0,1753,305,0,0,0,0,51,0,199,400,0,0,0,33,0,0,0,0,0,106,140,0,0,0,100,0,0,284,0,0,87,0,0,0,28,45,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_01165",0,0,0,40,0,0,0,6184,0,0,0,0,0,172,0,0,220,281,567,0,366,0,0,0,11,0,0,0,0,0,0,0,1624,146,217,617,0,0,29,0,1184,331,0,0,0,0,0,0,432,265,0,0,0,21,0,0,0,0,0,170,154,0,0,0,114,0,0,125,0,0,215,0,0,0,40,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_01261",0,0,0,111,0,0,0,3555,0,0,0,0,0,269,0,0,406,511,195,0,679,0,0,0,0,0,0,0,0,0,0,0,1217,174,184,316,0,0,0,0,2892,0,0,0,0,0,0,0,200,348,0,0,0,0,0,0,0,0,0,105,105,0,0,0,184,0,0,179,0,0,142,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_01357",0,0,0,76,0,0,0,3858,0,0,0,0,0,320,0,0,368,432,119,0,396,0,0,0,0,0,0,0,0,0,0,0,1118,152,168,384,0,0,0,0,2517,0,0,0,0,0,0,0,137,190,0,0,0,0,0,0,0,0,0,56,107,0,0,0,71,0,0,130,0,0,114,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_01453",0,0,0,0,0,0,0,2477,0,0,0,0,0,123,0,0,0,437,1002,0,769,0,0,0,0,0,0,0,0,0,0,0,1475,131,134,417,0,0,0,0,530,243,0,0,0,0,74,0,160,45,0,0,0,0,0,0,0,0,0,151,96,0,0,0,42,0,0,60,0,0,111,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_01549",0,0,0,70,0,0,0,2718,0,0,0,0,0,626,0,0,564,839,194,0,912,0,0,0,0,0,0,0,0,0,0,0,1924,196,140,328,0,0,0,0,3467,0,0,0,0,0,39,0,126,90,0,0,0,0,0,0,0,0,0,196,101,0,0,0,163,0,0,230,0,0,252,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_01645",0,0,0,0,44,0,0,3297,0,0,0,0,0,314,0,0,0,806,942,0,852,0,0,0,0,0,0,0,0,0,0,0,1931,128,112,456,0,0,0,0,2120,287,0,0,0,0,90,0,202,41,0,0,0,0,0,0,0,0,0,404,131,0,0,0,167,0,0,112,0,0,240,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_01741",0,0,0,49,0,0,0,4037,0,0,0,0,0,692,0,0,0,721,927,0,796,0,0,0,0,0,0,0,0,0,0,0,3107,180,38,573,0,0,0,0,2470,333,0,0,0,0,35,0,185,0,0,0,0,0,0,0,0,0,0,359,113,0,0,0,159,0,0,84,0,0,339,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_01837",0,0,0,46,39,0,0,2834,0,0,0,0,0,836,0,0,500,1049,620,0,648,0,0,0,0,0,0,0,0,0,0,0,2767,110,124,546,0,0,0,0,3210,305,0,0,0,0,43,0,230,0,0,0,0,0,0,0,0,0,0,244,81,0,0,0,220,0,0,71,0,0,290,0,0,0,96,53,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
