"","X_0002","X_0003","X_0005","X_0009","X_0011","X_0013","X_0014","X_0016","X_0019","X_0020","X_0021","X_0022","X_0024","X_0032","X_0033","X_0035","X_0036","X_0038","X_0039","X_0042","X_0044","X_0045","X_0046","X_0048","X_0049","X_0061","X_0063","X_0078","X_0082","X_0083","X_0087","X_0090","X_0095","X_0098","X_0107","X_0110","X_0128","X_0135","X_0137","X_0151","X_0156","X_0158","X_0163","X_0169","X_0176","X_0185","X_0186","X_0190","X_0192","X_0197","X_0201","X_0213","X_0215","X_0223","X_0244","X_0251","X_0259","X_0260","X_0262","X_0263","X_0267","X_0270","X_0277","X_0294","X_0300","X_0310","X_0322","X_0334","X_0337","X_0359","X_0390","X_0391","X_0491"
"S_10107",0,2468,0,0,0,247,71,0,0,296,0,0,0,0,0,12,22,0,0,24,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_10203",0,1718,0,0,0,208,52,0,0,266,0,0,0,0,0,0,19,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_10299",0,2571,0,0,0,289,61,0,0,524,0,0,0,0,0,40,34,0,0,40,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_10395",0,3735,0,0,0,403,105,0,0,1042,0,0,0,0,0,57,45,0,0,97,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_10491",0,3735,0,0,0,403,105,0,0,1042,0,0,0,0,0,57,45,0,0,97,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S_00028",0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0,0,0,341,0,0,0,0,240,0,0,0,0,97,124,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,90,0,0,0,0,0,0,0,0,0
"S_00124",0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0,0,0,341,0,0,0,0,240,0,0,0,0,97,124,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,0,90,0,0,0,0,0,0,0,0,0
"S_00220",0,18,0,0,0,0,0,6.5,0,0,0,163.5,0,0,0,17,0,0,170.5,0,0,0,0,172,15.5,0,0,0,117.5,62,0,34,0,271.5,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,171,0,105,0,0,21,0,0,0,0,0,6.5
"S_00316",0,18,0,0,0,0,0,6.5,0,0,0,163.5,0,0,0,17,0,0,170.5,0,0,0,0,172,15.5,0,0,0,117.5,62,0,34,0,271.5,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.5,171,0,105,0,0,21,0,0,0,0,0,6.5
