"","X_0001","X_0002","X_0003","X_0004","X_0005","X_0006","X_0011","X_0013","X_0014","X_0015","X_0016","X_0018","X_0019","X_0021","X_0022","X_0024","X_0026","X_0030","X_0031","X_0032","X_0033","X_0036","X_0037","X_0038","X_0039","X_0040","X_0044","X_0047","X_0048","X_0049","X_0050","X_0054","X_0067","X_0069","X_0075","X_0076","X_0083","X_0084","X_0086","X_0087","X_0089","X_0090","X_0098","X_0100","X_0102","X_0107","X_0109","X_0111","X_0117","X_0118","X_0128","X_0130","X_0141","X_0143","X_0147","X_0164","X_0166","X_0171","X_0173","X_0179","X_0181","X_0185","X_0191","X_0198","X_0222","X_0232","X_0241","X_0243","X_0252","X_0254","X_0275","X_0291","X_0309","X_0361","X_0399"
"S_01865",0,25944,0,0,0,0,0,0,0,0,0,0,0,0,109,941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1521,733,0,0,0,0,0,0,0,0,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_01961",0,28515,0,0,0,0,0,0,0,0,0,0,0,0,282,1255,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1956,1056,0,0,0,0,0,0,0,0,1444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_02057",0,21924,0,0,0,0,0,0,0,0,0,0,0,0,272,827,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,870,588,0,0,0,0,0,0,0,0,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_02153",0,29976,0,0,0,0,0,0,0,0,0,0,0,0,323,1410,0,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,934,934,0,0,0,0,0,0,0,0,798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_02249",0,32833,135,0,0,0,0,0,0,0,0,0,0,0,1240,1563,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,1323,1563,0,0,0,0,0,0,0,240,2834,0,0,0,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_02345",0,11371,29,0,0,0,0,0,0,0,0,0,0,0,1467,1042,0,0,0,0,0,0,0,0,767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1322,994,0,0,0,0,0,0,0,87,1510,0,0,0,0,188,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0
"S_02441",0,19856,0,0,0,0,0,0,0,0,0,0,0,0,371,1393,0,0,0,0,0,0,0,0,358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424,0,0,0,0,0,0,0,305,1525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_02537",0,18526,0,0,0,0,0,0,0,0,0,0,0,0,183,1369,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,175,395,0,0,0,0,0,0,0,69,591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_02633",0,10116,32,0,0,0,0,0,0,0,0,0,0,0,881,1471,0,0,0,0,0,0,0,0,521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644,1165,0,0,0,0,0,0,0,86,989,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_02729",0,12385,0,0,0,0,0,0,0,0,0,0,0,0,1289,1322,0,0,0,0,0,0,0,0,721,0,0,0,0,0,0,0,61,0,0,0,77,0,0,0,0,0,0,0,374,881,0,0,0,0,0,0,0,138,699,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_02825",0,12371,55,0,0,0,0,0,0,0,0,0,0,0,1462,1922,0,0,0,0,0,0,0,0,828,0,0,0,0,0,0,0,0,0,0,0,221,0,0,0,0,0,0,0,0,579,0,0,0,0,0,0,0,377,846,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_02921",0,18129,53,0,0,0,0,0,0,0,0,0,0,0,705,2576,0,0,0,0,0,0,0,0,826,0,0,0,0,0,0,0,197,0,0,0,606,0,0,0,0,0,0,0,197,614,0,0,0,0,0,0,0,432,606,0,0,0,0,121,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_03017",0,13436,70,0,0,0,0,0,0,0,0,0,0,0,1067,2554,0,0,0,0,0,0,0,0,1021,0,0,0,0,0,0,0,158,0,0,89,1016,0,0,0,0,0,0,0,182,979,0,0,0,0,0,0,0,508,816,0,0,0,0,186,0,298,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_03113",0,14201,56,0,0,0,0,0,0,0,0,0,0,0,1891,2303,0,0,0,0,0,0,0,0,1261,0,0,0,0,0,0,0,254,0,0,0,671,0,0,0,0,0,0,0,0,346,0,0,0,0,0,0,0,269,742,0,0,0,0,112,0,183,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_03209",0,9105,74,0,0,0,0,0,0,0,0,0,0,0,508,2668,0,0,0,0,0,0,0,0,529,0,0,0,0,0,0,0,487,0,0,0,572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_03305",0,7019,23,0,0,0,0,0,0,0,0,0,0,0,978,1466,0,0,0,0,0,0,0,0,1112,0,0,0,0,0,0,0,105,0,0,0,885,0,0,0,0,0,0,0,102,502,0,0,0,0,0,0,0,210,482,0,0,0,0,102,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_03401",0,10976,34,0,0,0,0,0,0,0,0,0,0,0,347,2266,0,0,0,0,0,0,0,0,304,0,0,0,0,0,0,0,304,0,0,0,1488,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_03497",0,13965,60,0,0,0,0,0,0,0,0,0,0,0,352,4003,0,0,0,0,0,0,0,0,1051,0,0,0,0,0,0,0,818,0,0,0,991,0,0,0,0,0,0,0,0,479,0,0,0,0,0,0,0,552,559,0,0,0,0,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_03593",0,6047,123,0,0,0,0,0,0,0,0,0,0,0,1116,2227,0,0,0,0,0,0,0,0,1255,0,0,0,0,0,0,0,327,0,0,0,1368,0,0,0,0,0,0,0,0,472,0,0,0,0,0,0,0,365,429,0,0,0,0,0,0,247,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_03689",0,14052,48,0,0,0,0,0,0,0,41,0,0,0,1468,2922,0,0,0,0,0,0,0,0,1658,0,0,0,0,0,0,0,544,0,0,0,2161,0,0,0,0,0,0,0,0,741,0,0,0,0,0,0,0,727,489,0,0,0,0,211,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_03785",0,13069,47,0,0,0,0,0,0,0,0,0,0,0,747,3183,0,0,0,0,0,0,0,0,2128,0,0,0,0,0,0,0,1262,0,0,0,1108,0,0,0,0,0,0,0,0,350,0,0,0,0,0,0,0,314,462,0,0,0,0,124,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0
"S_03881",0,10553,0,0,0,0,0,0,0,0,26,0,0,0,322,2967,0,0,0,0,0,0,0,0,1489,0,0,0,0,0,0,0,1033,0,0,41,1126,0,0,0,0,0,0,0,0,326,0,0,0,0,0,0,0,137,330,0,0,0,0,81,0,70,0,19,0,0,0,0,0,0,0,0,0,0,0
