"","X_0001","X_0002","X_0004","X_0007","X_0008","X_0009","X_0010","X_0012","X_0015","X_0017","X_0018","X_0026","X_0027","X_0029","X_0034","X_0039","X_0041","X_0043","X_0053","X_0057","X_0066","X_0067","X_0073","X_0075","X_0077","X_0086","X_0097","X_0101","X_0112","X_0114","X_0119","X_0140","X_0160","X_0161","X_0188","X_0207","X_0210","X_0220","X_0289","X_0305","X_0318"
"S_01325",0,0,4967,1694,73,0,0,0,272,0,0,0,0,0,0,0,0,0,224,0,0,0,51,0,0,0,0,22,66,0,40,0,0,0,0,0,0,0,0,0,0
"S_01421",0,0,4319,922,85,0,0,0,248,0,0,0,0,0,0,0,0,0,139,0,0,0,31,0,0,0,0,24,27,0,17,0,0,0,0,0,0,0,0,0,0
"S_01517",0,0,11080,8600,1492,0,0,0,4097,0,0,0,0,0,0,0,0,0,214,0,0,0,581,0,0,0,0,0,156,0,80,138,0,0,0,0,0,0,0,0,0
"S_01613",0,0,7570,5138,349,0,0,0,1003,0,0,0,0,0,0,0,0,0,290,0,0,0,261,0,0,0,0,0,126,0,65,53,0,0,0,0,0,0,0,0,0
"S_01709",0,0,13681,12931,2753,0,0,0,4664,0,0,0,0,0,0,0,0,0,274,0,0,0,1134,0,0,0,0,0,110,0,55,119,0,0,0,0,0,0,0,0,0
"S_01805",0,0,6725,3073,2224,0,0,0,2825,0,0,0,0,0,0,0,0,0,194,0,0,0,607,0,0,0,0,0,100,0,73,92,0,0,0,0,0,0,0,0,0
"S_01901",0,0,7133,7085,2148,0,0,0,2301,0,0,0,0,0,0,0,0,0,0,0,0,0,1040,0,0,0,0,0,110,0,67,120,0,43,0,0,0,0,0,0,177
"S_01997",0,0,7942,7077,2112,0,0,0,2536,0,0,0,0,0,0,0,0,0,0,0,0,0,1086,0,0,0,0,0,191,0,61,138,0,0,0,0,0,0,0,0,119
"S_02093",0,0,6736,8214,2296,0,0,0,2470,0,0,0,0,0,0,0,0,0,0,0,0,0,945,0,0,0,0,0,137,0,90,146,0,0,0,0,0,0,0,0,128
"S_02189",0,0,6476,6387,1897,0,0,0,1309,0,0,0,0,0,0,0,0,0,0,0,0,0,1045,0,0,37,0,0,67,0,15,169,0,0,0,0,0,0,0,0,0
"S_02285",0,0,6470,7684,1605,0,0,0,1550,0,0,0,0,0,0,0,0,0,0,0,0,0,932,0,0,48,0,0,62,0,18,146,0,0,0,0,0,0,0,0,110
"S_02381",0,0,6864,2568,227,0,0,0,977,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,68,0,0,0,0,80,0,0,0,0,0,0,0
"S_02477",0,0,5154,6038,1893,0,0,0,1308,0,0,0,0,0,0,0,0,0,0,0,0,0,601,0,0,61,0,0,47,0,20,105,0,0,0,0,0,0,0,0,63
"S_02573",0,0,5559,5813,1810,0,0,0,1333,0,0,0,0,0,0,0,0,0,0,0,0,0,684,0,0,58,0,0,21,0,26,119,0,0,0,0,0,0,0,0,79
"S_02669",0,0,6196,2840,373,0,0,0,760,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
"S_02765",0,0,5968,482,51,0,0,0,565,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,29,0,0,0,0,43,0,0,0,0,0,0,0
"S_02861",30,0,7099,4218,706,0,0,0,695,0,0,0,0,0,0,0,0,0,0,0,0,0,234,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0
"S_02957",146,0,7941,3088,650,0,0,0,948,0,0,0,0,0,0,0,0,0,0,0,0,0,195,0,0,0,0,0,70,0,38,76,0,0,0,0,0,0,0,0,98
"S_03053",42,0,7512,1600,338,0,0,0,589,0,0,0,0,0,0,0,0,0,52,0,0,0,105,0,0,45,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0
"S_03149",293,0,7251,3721,2126,0,0,0,2068,0,0,0,0,0,0,0,0,0,0,0,0,0,389,0,0,0,0,0,40,0,95,0,0,37,0,0,0,0,0,0,0
"S_03245",743,0,9248,4693,2889,0,0,0,1509,0,0,0,0,0,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,102,65,0,0,0,0,0,0,0,0,0
"S_03341",73,0,4860,578,190,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
