"sampleID","time","resource","inoculum","replicate.id","treat1","treat2","missing","timeChar"
"S_05097",54,"Medium-A","Water",1,"Water/Medium-A","WA","N","Day_054"
"S_05193",55,"Medium-A","Water",1,"Water/Medium-A","WA","N","Day_055"
"S_05289",56,"Medium-A","Water",1,"Water/Medium-A","WA","N","Day_056"
"S_05385",57,"Medium-A","Water",1,"Water/Medium-A","WA","Y","Day_057"
"S_05481",58,"Medium-A","Water",1,"Water/Medium-A","WA","Y","Day_058"
"S_05577",59,"Medium-A","Water",1,"Water/Medium-A","WA","Y","Day_059"
"S_05673",60,"Medium-A","Water",1,"Water/Medium-A","WA","N","Day_060"
"S_05769",61,"Medium-A","Water",1,"Water/Medium-A","WA","Y","Day_061"
"S_05865",62,"Medium-A","Water",1,"Water/Medium-A","WA","Y","Day_062"
"S_05961",63,"Medium-A","Water",1,"Water/Medium-A","WA","N","Day_063"
"S_06057",64,"Medium-A","Water",1,"Water/Medium-A","WA","N","Day_064"
"S_06153",65,"Medium-A","Water",1,"Water/Medium-A","WA","Y","Day_065"
"S_06249",66,"Medium-A","Water",1,"Water/Medium-A","WA","Y","Day_066"
"S_06345",67,"Medium-A","Water",1,"Water/Medium-A","WA","Y","Day_067"
"S_06441",68,"Medium-A","Water",1,"Water/Medium-A","WA","N","Day_068"
"S_06537",69,"Medium-A","Water",1,"Water/Medium-A","WA","Y","Day_069"
"S_06633",70,"Medium-A","Water",1,"Water/Medium-A","WA","Y","Day_070"
"S_06729",71,"Medium-A","Water",1,"Water/Medium-A","WA","Y","Day_071"
"S_06825",72,"Medium-A","Water",1,"Water/Medium-A","WA","N","Day_072"
"S_06921",73,"Medium-A","Water",1,"Water/Medium-A","WA","Y","Day_073"
"S_07017",74,"Medium-A","Water",1,"Water/Medium-A","WA","Y","Day_074"
"S_07113",75,"Medium-A","Water",1,"Water/Medium-A","WA","Y","Day_075"
"S_07209",76,"Medium-A","Water",1,"Water/Medium-A","WA","N","Day_076"
"S_07305",77,"Medium-A","Water",1,"Water/Medium-A","WA","Y","Day_077"
"S_07401",78,"Medium-A","Water",1,"Water/Medium-A","WA","Y","Day_078"
"S_07497",79,"Medium-A","Water",1,"Water/Medium-A","WA","N","Day_079"
"S_07593",80,"Medium-A","Water",1,"Water/Medium-A","WA","N","Day_080"
"S_07689",81,"Medium-A","Water",1,"Water/Medium-A","WA","Y","Day_081"
"S_07785",82,"Medium-A","Water",1,"Water/Medium-A","WA","Y","Day_082"
"S_07881",83,"Medium-A","Water",1,"Water/Medium-A","WA","N","Day_083"
"S_07977",84,"Medium-A","Water",1,"Water/Medium-A","WA","N","Day_084"
"S_08073",85,"Medium-A","Water",1,"Water/Medium-A","WA","N","Day_085"
"S_08169",86,"Medium-A","Water",1,"Water/Medium-A","WA","N","Day_086"
"S_08265",87,"Medium-A","Water",1,"Water/Medium-A","WA","N","Day_087"
"S_08361",88,"Medium-A","Water",1,"Water/Medium-A","WA","N","Day_088"
"S_08457",89,"Medium-A","Water",1,"Water/Medium-A","WA","Y","Day_089"
"S_08553",90,"Medium-A","Water",1,"Water/Medium-A","WA","Y","Day_090"
"S_08649",91,"Medium-A","Water",1,"Water/Medium-A","WA","Y","Day_091"
"S_08745",92,"Medium-A","Water",1,"Water/Medium-A","WA","N","Day_092"
"S_08841",93,"Medium-A","Water",1,"Water/Medium-A","WA","Y","Day_093"
"S_08937",94,"Medium-A","Water",1,"Water/Medium-A","WA","Y","Day_094"
"S_09033",95,"Medium-A","Water",1,"Water/Medium-A","WA","N","Day_095"
"S_09129",96,"Medium-A","Water",1,"Water/Medium-A","WA","N","Day_096"
"S_09225",97,"Medium-A","Water",1,"Water/Medium-A","WA","N","Day_097"
"S_09321",98,"Medium-A","Water",1,"Water/Medium-A","WA","Y","Day_098"
"S_09417",99,"Medium-A","Water",1,"Water/Medium-A","WA","N","Day_099"
"S_09513",100,"Medium-A","Water",1,"Water/Medium-A","WA","N","Day_100"
"S_09609",101,"Medium-A","Water",1,"Water/Medium-A","WA","Y","Day_101"
"S_09705",102,"Medium-A","Water",1,"Water/Medium-A","WA","Y","Day_102"
"S_09880",103,"Medium-A","Water",1,"Water/Medium-A","WA","N","Day_103"
"S_09897",104,"Medium-A","Water",1,"Water/Medium-A","WA","N","Day_104"
"S_09993",105,"Medium-A","Water",1,"Water/Medium-A","WA","N","Day_105"
"S_10089",106,"Medium-A","Water",1,"Water/Medium-A","WA","Y","Day_106"
"S_10185",107,"Medium-A","Water",1,"Water/Medium-A","WA","Y","Day_107"
"S_10281",108,"Medium-A","Water",1,"Water/Medium-A","WA","N","Day_108"
"S_10377",109,"Medium-A","Water",1,"Water/Medium-A","WA","N","Day_109"
"S_10473",110,"Medium-A","Water",1,"Water/Medium-A","WA","Y","Day_110"
"111",NA,NA,NA,NA,NA,NA,NA,NA
"S_00010",1,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_001"
"S_00106",2,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_002"
"S_00202",3,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_003"
"S_00298",4,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_004"
"S_00394",5,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_005"
"S_00490",6,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_006"
"S_00586",7,"Medium-A","Water",2,"Water/Medium-A","WA","Y","Day_007"
"S_00682",8,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_008"
"S_00778",9,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_009"
"S_00874",10,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_010"
"S_00970",11,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_011"
"S_01066",12,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_012"
"S_01162",13,"Medium-A","Water",2,"Water/Medium-A","WA","Y","Day_013"
"S_01258",14,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_014"
"S_01354",15,"Medium-A","Water",2,"Water/Medium-A","WA","Y","Day_015"
"S_01450",16,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_016"
"S_01546",17,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_017"
"S_01642",18,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_018"
"S_01738",19,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_019"
"S_01834",20,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_020"
"S_01930",21,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_021"
"S_02026",22,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_022"
"S_02122",23,"Medium-A","Water",2,"Water/Medium-A","WA","Y","Day_023"
"S_02218",24,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_024"
"S_02314",25,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_025"
"S_02410",26,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_026"
"S_02506",27,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_027"
"S_02602",28,"Medium-A","Water",2,"Water/Medium-A","WA","Y","Day_028"
"S_02698",29,"Medium-A","Water",2,"Water/Medium-A","WA","Y","Day_029"
"S_02794",30,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_030"
"S_02890",31,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_031"
"S_02986",32,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_032"
"S_03082",33,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_033"
"S_03178",34,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_034"
"S_03274",35,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_035"
"S_03370",36,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_036"
"S_03466",37,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_037"
"S_03562",38,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_038"
"S_03658",39,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_039"
"S_03754",40,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_040"
"S_03850",41,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_041"
"S_03946",42,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_042"
"S_04042",43,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_043"
"S_04138",44,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_044"
"S_04234",45,"Medium-A","Water",2,"Water/Medium-A","WA","Y","Day_045"
"S_04330",46,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_046"
"S_04426",47,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_047"
"S_04522",48,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_048"
"S_04618",49,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_049"
"S_04714",50,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_050"
"S_04810",51,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_051"
"S_04906",52,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_052"
"S_05002",53,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_053"
"S_05098",54,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_054"
"S_05194",55,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_055"
"S_05290",56,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_056"
"S_05386",57,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_057"
"S_05482",58,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_058"
"S_05578",59,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_059"
"S_05674",60,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_060"
"S_05770",61,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_061"
"S_05866",62,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_062"
"S_05962",63,"Medium-A","Water",2,"Water/Medium-A","WA","Y","Day_063"
"S_06058",64,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_064"
"S_06154",65,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_065"
"S_06250",66,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_066"
"S_06346",67,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_067"
"S_06442",68,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_068"
"S_06538",69,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_069"
"S_06634",70,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_070"
"S_06730",71,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_071"
"S_06826",72,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_072"
"S_06922",73,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_073"
"S_07018",74,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_074"
"S_07114",75,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_075"
"S_07210",76,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_076"
"S_07306",77,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_077"
"S_07402",78,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_078"
"S_07498",79,"Medium-A","Water",2,"Water/Medium-A","WA","Y","Day_079"
"S_07594",80,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_080"
"S_07690",81,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_081"
"S_07786",82,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_082"
"S_07882",83,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_083"
"S_07978",84,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_084"
"S_08074",85,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_085"
"S_08170",86,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_086"
"S_08266",87,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_087"
"S_08362",88,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_088"
"S_08458",89,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_089"
"S_08554",90,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_090"
"S_08650",91,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_091"
"S_08746",92,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_092"
"S_08842",93,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_093"
"S_08938",94,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_094"
"S_09034",95,"Medium-A","Water",2,"Water/Medium-A","WA","Y","Day_095"
"S_09130",96,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_096"
"S_09226",97,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_097"
"S_09322",98,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_098"
"S_09418",99,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_099"
"S_09514",100,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_100"
"S_09610",101,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_101"
"S_09706",102,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_102"
"S_09879",103,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_103"
"S_09898",104,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_104"
"S_09994",105,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_105"
"S_10090",106,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_106"
"S_10186",107,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_107"
"S_10282",108,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_108"
"S_10378",109,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_109"
"S_10474",110,"Medium-A","Water",2,"Water/Medium-A","WA","N","Day_110"
"1111",NA,NA,NA,NA,NA,NA,NA,NA
"S_00011",1,"Medium-A","Water",3,"Water/Medium-A","WA","N","Day_001"
"S_00107",2,"Medium-A","Water",3,"Water/Medium-A","WA","Y","Day_002"
