7.68305,-3.57741,09K95A
8.35059,2.94408,0VM1CI
9.11317,1.67947,1RGWDX
9.41411,-9.58259,1T56G4
-23.8167,8.89238,26QQrO
16.9196,-14.6228,4XSG4Y
-2.01125,4.647,5MKWBH
-26.2833,-9.05015,6LVPX8
5.1341,-0.566307,9XELA5
19.457,-19.8842,9XNMJT
6.33693,-0.0177271,DLODDN
-1.42201,2.06491,DZVZH0
2.92845,5.92996,EPJUNL
-13.2164,19.4734,EUQG8X
-10.7456,13.0001,F80LGF
2.61795,4.64316,F9HJUU
-18.3575,0.241657,FMFSCB
-11.9477,11.326,G7E225
-3.71802,-22.6544,H6CSMA
12.9908,-12.2512,I5N225
9.1849,-3.74088,J1O0BL
-5.4661,11.1087,J3UYDR
18.5312,-17.307,JDWAOR
-21.9092,10.3154,LYDUBY
-0.266758,-5.41719,MKBDBY
4.26659,3.84241,N5IZ3L
4.80004,3.48122,NDBDKD
6.99513,-5.36954,O3VQFQ
-0.537835,8.83221,QBC0SD
-7.96769,11.9879,T80OF8
8.67122,-9.00549,U6GTOL
-7.85776,2.16386,UMKISW
-13.0057,16.9787,VSTPH2
1.97435,11.3106,W5FDMV
11.4258,-12.2082,XAD1I4
-14.9138,-3.28595,XXN4TH
5.44545,-4.302,XYBF9C
11.3219,-4.46959,Y45ETC
-18.1293,16.2465,YP7H46
13.0096,-14.4745,ZIBR7F
5.00072,0.677213,ZP6YP4
