4.13756,-37.1593,1,1
91.9452,-18.0109,2,2
11.957,68.4855,3,3
5.80884,-52.4207,4,4
-22.5756,5.45582,5,5
-28.89,1.80205,6,6
-29.4738,22.0859,7,7
-32.9092,9.76167,8,8
