0,221,214,15,190,4,161,58,8,127,103,262,27,395,0,0,103,1,232,15,2,68,1,7,83,0,5,1316,5,51,12,8,30,6,1,39,7,87,0,42,80,331,39,7,13,10,3,56,17,140,110,33,0,3,208,216,2,1077,13,0,220,0,4,492,67,25,86,177,22,111
1,42,10,7,1,9,203,1,20,39,0,6,55,4,1,5234,3,0,0,5,1,2,0,14,17,0,0,2,13,9,9,1,0,0,0,2,3,5,2,1,362,9,157,0,869,3,7,4,1,0,2,21,0,23,2,105,0,3,1,34,2,7,7,202,23,17,2,0,113,24
1,373,169,42,51,28,771,26,45,260,6,136,127,154,3,301,56,0,7,32,8,41,1,43,152,1,1,212,43,78,41,12,5,4,1,29,20,71,4,28,678,226,322,2,525,19,17,66,10,22,60,114,0,37,79,691,1,194,12,16,76,3,20,1142,146,75,44,9,218,207
1,381,232,34,107,18,509,44,35,261,24,228,109,262,2,37,93,0,32,32,5,62,1,28,143,0,2,493,20,86,32,12,11,6,1,43,15,104,3,40,395,299,184,4,155,21,13,69,17,59,91,83,0,21,119,491,2,448,16,5,142,1,17,1113,143,67,80,32,112,200
0,24,54,0,174,0,4,29,0,13,667,120,1,189,0,0,46,0,1819,1,0,24,0,0,7,0,11,1580,0,7,0,0,43,2,1,12,0,27,0,12,1,75,0,4,0,1,0,6,8,246,39,1,0,0,68,8,0,1274,2,0,140,0,0,46,6,1,48,722,0,10
0,22,46,1,122,0,6,22,0,11,304,87,1,171,0,0,32,0,1255,1,0,20,0,0,7,0,6,1371,0,6,0,1,33,2,0,9,0,18,0,11,1,81,1,3,0,1,0,8,5,152,34,1,0,0,89,11,0,1010,2,0,109,0,0,36,5,1,29,575,0,10
0,258,156,24,71,12,356,30,20,167,15,148,60,187,1,24,60,0,23,20,4,42,0,18,102,0,1,359,16,56,22,9,8,4,1,28,12,65,1,28,253,220,121,3,109,13,8,52,11,38,63,60,0,13,96,372,1,315,11,3,96,1,10,699,92,42,48,24,77,137
1,184,70,24,16,19,507,9,25,129,1,49,68,56,2,562,20,0,1,15,5,16,0,29,80,1,0,63,36,37,24,6,1,1,0,11,13,28,3,11,473,97,228,1,576,9,10,33,4,6,23,70,0,26,32,441,0,57,5,16,25,3,11,572,73,40,15,2,167,107
1,146,45,22,7,21,530,5,32,114,0,29,85,28,3,2311,12,0,0,14,4,9,0,33,63,1,0,24,39,29,23,5,0,1,0,7,11,19,3,7,629,55,293,0,1094,8,12,21,2,2,13,65,0,36,14,384,0,23,3,34,13,7,13,532,65,40,9,0,218,86
2,409,159,56,36,43,1133,21,44,266,2,108,115,138,6,989,44,0,4,31,11,36,1,62,188,1,0,166,93,79,52,15,3,3,1,25,34,57,5,27,932,246,464,2,1205,17,17,86,8,14,55,164,0,50,92,1101,1,144,12,30,60,6,20,1151,153,79,31,6,355,242
0,182,158,10,129,4,129,41,21,144,85,220,75,199,0,1,91,0,72,18,1,47,0,7,54,0,5,507,2,49,11,4,14,6,1,36,3,96,1,26,113,150,47,3,14,16,7,23,17,99,65,22,0,6,53,107,1,509,9,0,138,0,10,625,74,34,99,51,22,83
0,268,143,29,52,17,471,24,19,164,7,118,53,165,2,63,47,0,13,19,5,37,0,24,117,0,1,284,30,55,25,10,6,3,1,23,17,52,2,26,316,228,158,2,209,11,7,63,8,25,57,78,0,16,106,527,1,239,10,5,77,1,9,677,92,42,35,16,111,151
1,231,95,24,26,19,481,14,63,205,3,83,196,64,2,458,36,0,2,27,3,22,0,31,79,0,0,71,17,54,28,5,2,3,0,19,8,54,4,14,647,88,275,1,428,19,22,25,7,12,28,61,0,39,20,299,0,75,7,19,37,5,25,985,113,69,34,2,163,121
0,211,227,11,250,3,116,69,13,146,228,339,49,379,0,0,137,0,294,18,1,74,0,5,64,0,10,1295,1,56,10,5,35,9,1,49,3,124,0,41,75,255,33,7,6,15,4,35,25,214,109,22,0,4,122,121,2,1195,12,0,255,0,7,594,75,29,141,188,15,96
0,198,217,10,247,3,105,67,12,136,234,329,45,366,0,0,132,0,302,17,1,71,0,4,60,0,10,1279,1,52,10,4,35,8,1,47,3,118,0,39,68,243,30,7,5,14,3,33,24,214,105,20,0,3,117,111,2,1180,12,0,249,0,6,557,70,27,138,191,14,90
1,261,121,30,37,20,540,19,27,174,4,95,75,116,2,179,39,0,6,21,5,29,0,29,110,1,0,166,33,54,28,9,4,3,0,20,16,48,2,21,437,173,212,2,351,13,10,51,7,16,44,82,0,23,66,519,1,147,9,10,55,2,12,749,98,49,30,7,148,146
1,208,85,27,21,20,530,12,20,132,2,60,52,80,3,315,25,0,3,16,5,20,0,28,96,1,0,103,43,40,25,8,2,2,0,13,17,30,2,15,411,136,206,1,476,9,8,46,4,8,31,79,0,22,54,540,1,89,7,12,35,2,9,562,75,38,17,4,156,122
1,91,29,11,6,11,270,3,38,88,0,22,115,15,1,1234,10,0,0,12,2,6,0,19,32,0,0,12,11,21,14,2,0,1,0,6,4,17,3,4,450,25,188,0,488,8,14,8,2,2,7,30,0,29,4,143,0,14,2,23,8,6,14,443,49,34,9,0,117,49
0,228,149,18,78,9,268,30,22,161,22,158,70,173,1,13,64,0,26,20,3,41,0,15,82,0,1,347,9,54,18,7,9,4,1,29,7,72,1,25,213,182,97,3,67,14,8,39,12,45,60,44,0,11,71,252,1,322,10,2,98,0,10,688,87,40,58,24,57,116
0,136,151,8,165,2,82,46,3,72,113,197,12,332,0,0,76,0,322,8,1,51,0,3,51,0,4,1334,2,31,6,5,30,4,1,27,4,58,0,31,34,255,17,6,4,6,1,40,12,133,85,18,0,1,190,125,1,1043,9,0,184,0,2,270,38,12,63,227,10,67
0,250,215,17,167,6,202,54,14,159,80,261,47,333,0,1,105,0,130,19,3,66,0,9,88,0,4,939,6,59,15,8,23,6,1,42,7,98,1,40,125,289,58,6,23,14,5,51,18,117,100,38,0,6,146,229,2,820,13,0,194,0,8,644,84,34,93,103,32,123
1,50,12,9,1,11,264,1,16,42,0,7,41,6,1,5488,3,0,0,5,2,2,0,17,22,0,0,4,23,10,10,2,0,0,0,2,4,5,2,2,376,14,174,0,1121,3,6,7,1,0,3,29,0,23,3,168,0,4,1,35,3,7,6,203,24,17,2,0,138,31
0,319,228,22,140,10,309,51,39,247,57,274,131,258,0,10,113,0,50,31,3,64,0,17,102,0,4,545,7,81,23,7,15,7,1,48,7,127,2,38,276,235,120,4,60,24,14,43,22,91,89,50,0,15,81,256,1,537,14,2,163,0,18,1082,131,62,114,42,62,155
0,242,231,15,206,5,172,63,11,148,119,294,38,400,0,0,116,0,221,17,2,73,0,8,86,0,6,1280,4,58,13,8,31,7,1,44,6,102,0,44,95,325,45,7,14,13,4,54,20,155,114,34,0,4,183,211,2,1090,14,0,234,0,6,585,78,29,103,165,24,119
0,41,82,1,206,0,11,39,0,19,464,149,2,301,0,0,55,0,1989,2,0,35,0,0,14,0,9,2349,0,10,1,1,55,3,1,16,0,32,0,19,3,149,1,6,0,2,0,15,9,249,61,3,0,0,165,22,1,1715,4,0,188,0,0,67,10,2,49,942,0,18
0,333,289,20,232,8,249,74,29,243,136,382,103,393,0,2,156,0,146,30,2,87,0,13,105,0,8,1040,5,86,20,8,28,10,1,61,6,158,1,50,190,311,84,7,28,24,10,51,29,171,124,44,0,10,125,231,2,990,17,0,255,0,15,1031,127,55,158,108,42,157
1,90,24,15,3,16,382,2,24,72,0,15,63,14,2,3358,6,0,0,9,3,5,0,24,39,0,0,10,30,18,16,3,0,0,0,4,7,11,3,4,499,29,231,0,1084,5,9,12,1,1,7,44,0,29,7,258,0,10,2,34,6,7,9,347,42,27,5,0,175,54
0,273,152,21,67,13,353,28,65,249,19,169,223,123,0,63,72,0,10,33,3,38,0,22,82,0,2,185,7,71,26,6,5,5,0,34,6,98,3,23,446,127,183,2,136,26,23,27,15,38,50,49,0,27,30,222,1,202,9,6,81,2,27,1174,132,75,78,9,94,132
1,74,20,12,3,13,320,2,21,61,0,12,56,10,2,3288,5,0,0,8,2,4,0,21,32,0,0,8,24,15,13,2,0,0,0,3,6,9,2,3,436,23,200,0,964,4,8,10,1,1,5,36,0,26,5,208,0,8,2,32,5,6,8,294,35,23,4,0,151,44
